區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2024-01-01~2024-07-01,smc,1.05,0.002,-0.810705,0.1892,37,-16.657820898203514,86.98232355205808,0.06202172806226737
2024-01-01~2024-07-01,smc,1.05,0.003,-0.810705,0.1892,37,-16.657820898203514,86.98232355205808,0.06202172806226737
2024-01-01~2024-07-01,smc,1.05,0.004,-0.810705,0.1892,37,-16.657820898203514,86.98232355205808,0.06202172806226737
2024-01-01~2024-07-01,smc,1.05,0.005,-0.810705,0.1892,37,-16.657820898203514,86.98232355205808,0.06202172806226737
2024-01-01~2024-07-01,smc,1.1,0.002,-1.560705,0.1892,37,-16.238287837359913,166.52637082190404,0.03320677256506624
2024-01-01~2024-07-01,smc,1.1,0.003,-1.560705,0.1892,37,-16.238287837359913,166.52637082190404,0.03320677256506624
2024-01-01~2024-07-01,smc,1.1,0.004,-1.560705,0.1892,37,-16.238287837359913,166.52637082190404,0.03320677256506624
2024-01-01~2024-07-01,smc,1.1,0.005,-1.560705,0.1892,37,-16.238287837359913,166.52637082190404,0.03320677256506624
2024-01-01~2024-07-01,smc,1.15,0.002,-2.310705,0.1892,37,-16.040059242710516,246.07041809174976,0.022673014217959322
2024-01-01~2024-07-01,smc,1.15,0.003,-2.310705,0.1892,37,-16.040059242710516,246.07041809174976,0.022673014217959322
2024-01-01~2024-07-01,smc,1.15,0.004,-2.310705,0.1892,37,-16.040059242710516,246.07041809174976,0.022673014217959322
2024-01-01~2024-07-01,smc,1.15,0.005,-2.310705,0.1892,37,-16.040059242710516,246.07041809174976,0.022673014217959322
2024-01-01~2024-07-01,smc,1.2,0.002,-3.060705,0.1892,37,-15.93034805125708,325.6144653615959,0.01721281408339635
2024-01-01~2024-07-01,smc,1.2,0.003,-3.060705,0.1892,37,-15.93034805125708,325.6144653615959,0.01721281408339635
2024-01-01~2024-07-01,smc,1.2,0.004,-3.060705,0.1892,37,-15.93034805125708,325.6144653615959,0.01721281408339635
2024-01-01~2024-07-01,smc,1.2,0.005,-3.060705,0.1892,37,-15.93034805125708,325.6144653615959,0.01721281408339635
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-8.046559,0.1476,393,-13.34478166164253,0.0,0.16160965509941244
2024-01-01~2024-07-01,smc_loose,1.05,0.003,-8.863638,0.1404,413,-14.100756713772622,0.0,0.14551972219221063
2024-01-01~2024-07-01,smc_loose,1.05,0.004,-7.736457,0.144,389,-13.016211759262895,0.0,0.1664343075853292
2024-01-01~2024-07-01,smc_loose,1.05,0.005,-7.834111,0.1335,382,-13.49408206609438,0.0,0.15859363525905745
2024-01-01~2024-07-01,smc_loose,1.1,0.002,-11.170174,0.1115,278,-14.165114756553887,0.0,0.10300752556303086
2024-01-01~2024-07-01,smc_loose,1.1,0.003,-12.329535,0.1149,296,-14.82991650088294,0.0,0.08808379953814166
2024-01-01~2024-07-01,smc_loose,1.1,0.004,-10.752315,0.1127,275,-13.824105350600908,0.0,0.10563440297912993
2024-01-01~2024-07-01,smc_loose,1.1,0.005,-11.74285,0.1049,286,-14.523209343413246,0.0,0.09703323332652279
2024-01-01~2024-07-01,smc_loose,1.15,0.002,-10.424136,0.104,173,-14.297419538863993,0.0,0.08442063221595254
2024-01-01~2024-07-01,smc_loose,1.15,0.003,-9.46085,0.1299,177,-13.315235423556045,0.0,0.08025883679933417
2024-01-01~2024-07-01,smc_loose,1.15,0.004,-9.629363,0.1285,179,-13.407935855039751,0.0,0.07859269291237661
2024-01-01~2024-07-01,smc_loose,1.15,0.005,-10.998343,0.1196,184,-14.65034232029901,0.0,0.06885383939007433
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-11.369117,0.118,161,-13.197993730663748,0.0,0.07181034522898845
2024-01-01~2024-07-01,smc_loose,1.2,0.003,-13.414009,0.1023,176,-14.136351757552408,0.0,0.06130932151515843
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-11.051003,0.0932,161,-12.967486190212265,0.0,0.07206816802345421
2024-01-01~2024-07-01,smc_loose,1.2,0.005,-12.929169,0.0765,170,-14.172819522760966,0.0,0.061685115795483934
